Title,Author,amz_rating,amz_reviews,gr_rating,gr_reviews,price,Year,Genre,genre_1,num_pages
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,4.36,20999,12,2015,Non Fiction,Nonfiction,404
The Casual Vacancy,J.K. Rowling,3.3,9372,3.3,31229,12,2012,Fiction,Fiction,503
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,3.69,228,6,2018,Non Fiction,Food and Drink-Cookbooks,158
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,3.69,228,6,2019,Non Fiction,Food and Drink-Cookbooks,158
The Day the Crayons Quit,Drew Daywalt,4.8,8922,4.43,4356,9,2013,Fiction,Childrens-Picture Books,30
The Day the Crayons Quit,Drew Daywalt,4.8,8922,4.43,4356,9,2014,Fiction,Childrens-Picture Books,30
The Day the Crayons Quit,Drew Daywalt,4.8,8922,4.43,4356,9,2015,Fiction,Childrens-Picture Books,30
The Elegance of the Hedgehog,Muriel Barbery,4,1859,3.77,17650,11,2009,Fiction,Fiction,325
The Fault in Our Stars,John Green,4.7,50482,4.21,154147,13,2012,Fiction,Young Adult,318
The Fault in Our Stars,John Green,4.7,50482,4.21,154147,13,2013,Fiction,Young Adult,318
The Fault in Our Stars,John Green,4.7,50482,4.21,154147,10,2014,Fiction,Young Adult,318
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,4.05,3415,6,2009,Non Fiction,Business,227
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,4.05,3415,6,2010,Non Fiction,Business,227
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,4.05,3415,6,2011,Non Fiction,Business,227
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,4.05,3415,6,2012,Non Fiction,Business,227
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,4.05,3415,6,2013,Non Fiction,Business,227
The Girl on the Train,Paula Hawkins,4.1,79446,3.92,108895,18,2015,Fiction,Fiction,325
The Girl on the Train,Paula Hawkins,4.1,79446,3.92,108895,7,2016,Fiction,Fiction,325
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,3.92,65263,7,2012,Fiction,Classics,200
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,3.92,65263,7,2013,Fiction,Classics,200
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,3.92,65263,7,2014,Fiction,Classics,200
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,4.17,52957,10,2009,Fiction,Historical-Historical Fiction,291
The Handmaid's Tale,Margaret Atwood,4.3,29442,4.11,68083,7,2017,Fiction,Fiction,314
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,3.95,2309,13,2012,Fiction,Christian,262
The Hate U Give,Angie Thomas,4.8,9947,4.51,53750,11,2018,Fiction,Young Adult,464
The Help,Kathryn Stockett,4.8,13871,4.47,83960,6,2009,Fiction,Fiction,451
The Help,Kathryn Stockett,4.8,13871,4.47,83960,6,2010,Fiction,Fiction,451
The Help,Kathryn Stockett,4.8,13871,4.47,83960,7.5,2011,Fiction,Fiction,451
The Hunger Games,Suzanne Collins,4.7,32122,4.33,169511,14,2010,Fiction,Young Adult,374
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,4.07,34057,13,2010,Non Fiction,Nonfiction,370
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,4.07,34057,9,2011,Non Fiction,Nonfiction,370
